,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
0,Ismael Aaneba,fr FRA,DF,Strasbourg,Ligue 1,20.0,1999.0,0.0,,,,,0.0,,0.0,0.0,,8.0,,,,,,,,,,,
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,28.0,1990.0,29.0,2507.0,86.0,73.3,27.9,29.0,86.0,25.0,0.0,,0.0,1.24,21.0,38.0,-17.0,-0.61,-0.41,28.3,42.3,-14.0,-0.5,0.21
2,Max Aarons,eng ENG,DF,Norwich City,Premier League,19.0,2000.0,36.0,3240.0,90.0,94.7,36.0,36.0,90.0,36.0,0.0,,0.0,0.5,23.0,71.0,-48.0,-1.33,-0.83,34.6,62.1,-27.5,-0.76,0.23
3,Diego Abbrandini,it ITA,GK,Brescia,Serie A,17.0,2001.0,0.0,,,,,0.0,,0.0,0.0,,3.0,,,,,,,,,,,
4,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,31.0,1987.0,28.0,2520.0,90.0,100.0,28.0,28.0,90.0,28.0,0.0,,0.0,1.46,26.0,21.0,5.0,0.18,,30.6,28.5,2.1,0.08,
5,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,Bundesliga,22.0,1996.0,6.0,157.0,26.0,5.1,1.7,1.0,57.0,0.0,5.0,20.0,5.0,0.67,2.0,5.0,-3.0,-1.72,-1.29,3.1,4.0,-1.0,-0.55,-0.18
6,Mehdi Abeid,dz ALG,MF,Nantes,Ligue 1,26.0,1992.0,25.0,1817.0,73.0,72.1,20.2,20.0,85.0,15.0,5.0,22.0,1.0,1.44,20.0,25.0,-5.0,-0.25,-0.5,20.8,25.4,-4.5,-0.22,-0.65
7,Charles Abi,fr FRA,FW,Saint-Étienne,Ligue 1,19.0,2000.0,15.0,623.0,42.0,24.7,6.9,6.0,73.0,2.0,9.0,20.0,1.0,0.93,7.0,14.0,-7.0,-1.01,-0.58,8.3,10.9,-2.5,-0.37,-0.14
8,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,33.0,1986.0,20.0,1688.0,84.0,55.2,18.8,19.0,86.0,15.0,1.0,61.0,5.0,1.85,32.0,27.0,5.0,0.27,0.66,30.9,24.3,6.6,0.35,0.15
9,Tammy Abraham,eng ENG,FW,Chelsea,Premier League,21.0,1997.0,34.0,2215.0,65.0,64.8,24.6,25.0,81.0,9.0,9.0,20.0,0.0,1.82,45.0,34.0,11.0,0.45,0.15,46.3,27.5,18.8,0.76,-0.12
10,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,29.0,1990.0,13.0,663.0,51.0,21.7,7.4,8.0,74.0,3.0,5.0,14.0,14.0,1.62,9.0,9.0,0.0,0.0,-0.04,9.6,12.2,-2.6,-0.35,0.22
11,Francesco Acerbi,it ITA,DF,Lazio,Serie A,31.0,1988.0,36.0,3162.0,88.0,92.5,35.1,36.0,88.0,32.0,0.0,,1.0,2.0,74.0,38.0,36.0,1.02,0.68,62.9,46.9,16.0,0.45,0.14
12,Che Adams,sct SCO,FW,Southampton,Premier League,23.0,1996.0,30.0,1111.0,37.0,32.5,12.3,12.0,73.0,0.0,18.0,13.0,6.0,1.47,17.0,17.0,0.0,0.0,0.35,20.0,17.7,2.3,0.19,0.15
