Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR,Playing Time - Mn/MP,Playing Time - Min%,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
Ismael Aaneba,0,FRA,DF,Strasbourg,Ligue 1,19,1999,3,3,204,2.3,0,0,0,0,0,0,3,0,0.0,0.0,0.4,0.4,3,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,,,,,,,,,,,,,,,,,73.0,120.0,60.8,1324.0,635.0,32.0,43.0,74.4,31.0,51.0,60.8,9.0,17.0,52.9,0.0,0.4,0.2,-0.4,2.0,6.0,2.0,2.0,8.0,120,92,28,3,0,2,11,25,0,0,0,0,73,0,8,3,1.32,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,12.0,6.0,7.0,5.0,0.0,5.0,10.0,50.0,5.0,5.0,0.0,5.0,8.0,20.0,9.0,0.0,157.0,9.0,49.0,80.0,31.0,0.0,157.0,3.0,2.0,66.7,1.0,33.3,70.0,381.0,239.0,3.0,4.0,0.0,4.0,2.0,71.0,8.0,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,0.0,11.0,8.0,6.0,0.0,0.0,0.0,18.0,1.0,5.0,16.7,,,,,,,,,,,,,,,
Patrick van Aanholt,1,NED,DF,Crystal Palace,Premier League,27,1990,36,36,3195,35.5,3,2,5,3,0,0,3,0,2.6,2.6,4.4,7.0,89,212,106,0.08,0.06,0.14,0.08,0.14,0.07,0.12,0.2,0.07,0.2,35.5,3.0,45.0,11.0,24.4,1.27,0.31,0.07,0.27,20.7,0.0,0.0,0.0,0.06,0.4,0.4,1564.0,1971.0,79.4,24295.0,10061.0,874.0,995.0,87.8,551.0,687.0,80.2,101.0,194.0,52.1,2.0,4.4,3.7,-2.4,35.0,117.0,52.0,4.0,212.0,1971,1603,364,46,5,7,42,316,2,0,1,1,1564,4,33,86,2.42,67,8,2,7,2,0,6,0.17,4,1,0,1,0,0,48.0,24.0,35.0,11.0,2.0,24.0,40.0,60.0,16.0,33.0,9.0,24.0,40.0,88.0,91.0,2.0,2300.0,123.0,666.0,1046.0,611.0,63.0,2300.0,42.0,22.0,52.4,20.0,47.6,1051.0,5415.0,3184.0,89.0,69.0,16.0,35.0,15.0,1335.0,106.0,,,,,,,,,,,,,,,,,,,,0.0,12.0,14.0,10.0,42.0,40.0,24.0,0.0,0.0,0.0,216.0,10.0,12.0,45.5,,,,,,,,,,,,,,,
Ignazio Abate,2,ITA,DF,Milan,Serie A,31,1986,19,15,1302,14.5,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.4,27,88,43,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,14.5,0.0,1.0,1.0,100.0,0.07,0.07,0.0,0.0,12.5,0.0,0.0,0.0,0.08,-0.1,-0.1,763.0,925.0,82.5,13052.0,4961.0,352.0,375.0,93.9,342.0,403.0,84.9,60.0,114.0,52.6,0.0,0.4,0.6,-0.4,7.0,69.0,11.0,5.0,88.0,925,817,107,14,0,4,26,93,0,0,0,0,763,1,19,23,1.59,23,0,0,0,0,0,1,0.07,1,0,0,0,0,0,34.0,19.0,16.0,13.0,5.0,14.0,22.0,63.6,8.0,19.0,6.0,13.0,18.0,52.0,50.0,0.0,1070.0,67.0,342.0,579.0,156.0,11.0,1070.0,10.0,4.0,40.0,6.0,60.0,646.0,2673.0,1487.0,27.0,13.0,4.0,8.0,2.0,695.0,43.0,69.0,38.1,15.0,82.0,8.0,4.0,17.0,19.0,2.11,22.0,13.0,9.0,0.62,0.2,19.9,14.2,5.7,0.4,0.32,0.0,13.0,6.0,0.0,26.0,18.0,19.0,0.0,1.0,0.0,71.0,13.0,8.0,61.9,,,,,,,,,,,,,,,
Issah Abbas,3,GHA,FW,Mainz 05,Bundesliga,19,1998,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,1.0,100.0,0.0,0.0,3.0,55.0,8.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunis Abdelhamid,4,MAR,DF,Reims,Ligue 1,30,1987,38,38,3420,38.0,0,0,0,0,0,0,2,0,1.6,1.6,0.1,1.8,16,71,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.05,0.04,0.05,38.0,0.0,19.0,4.0,21.1,0.5,0.11,0.0,0.0,15.4,0.0,0.0,0.0,0.09,-1.6,-1.6,1330.0,1614.0,82.4,28130.0,10765.0,344.0,405.0,84.9,804.0,877.0,91.7,171.0,289.0,59.2,0.0,0.1,0.3,-0.1,3.0,49.0,3.0,0.0,71.0,1614,1543,63,62,0,31,0,1,0,0,0,0,1330,8,19,25,0.66,17,1,3,4,0,0,2,0.05,2,0,0,0,0,0,60.0,33.0,48.0,11.0,1.0,30.0,40.0,75.0,10.0,44.0,24.0,20.0,65.0,125.0,196.0,0.0,2027.0,259.0,1276.0,738.0,46.0,27.0,2027.0,23.0,21.0,91.3,2.0,8.7,1040.0,5366.0,2909.0,16.0,7.0,1.0,16.0,6.0,1182.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,34.0,20.0,1.0,0.0,65.0,33.0,0.0,1.0,1.0,205.0,113.0,71.0,61.4,,,,,,,,,,,,,,,
Mehdi Abeid,5,ALG,MF,Dijon,Ligue 1,25,1992,26,23,2023,22.5,3,0,3,2,1,1,6,0,2.9,2.1,1.6,3.8,43,97,50,0.13,0.0,0.13,0.09,0.09,0.13,0.07,0.2,0.1,0.17,22.5,3.0,36.0,10.0,27.8,1.6,0.44,0.06,0.2,24.9,0.0,1.0,1.0,0.06,0.1,-0.1,903.0,1068.0,84.6,15602.0,3725.0,419.0,466.0,89.9,365.0,405.0,90.1,90.0,143.0,62.9,0.0,1.6,0.8,-1.6,22.0,92.0,5.0,2.0,97.0,1068,1028,35,17,4,12,24,5,10,1,6,0,903,5,13,41,1.82,30,4,4,1,1,1,2,0.09,2,0,0,0,0,0,51.0,33.0,27.0,16.0,8.0,15.0,45.0,33.3,30.0,33.0,7.0,26.0,29.0,80.0,23.0,1.0,1356.0,30.0,252.0,870.0,258.0,21.0,1355.0,60.0,31.0,51.7,29.0,48.3,786.0,4914.0,2328.0,43.0,23.0,4.0,40.0,31.0,908.0,50.0,78.0,59.2,23.0,84.0,16.0,3.0,28.0,1.0,0.81,18.0,30.0,-12.0,-0.53,0.56,22.2,31.3,-9.2,-0.41,0.19,0.0,57.0,28.0,1.0,24.0,29.0,33.0,0.0,0.0,0.0,145.0,17.0,26.0,39.5,,,,,,,,,,,,,,,
Charles Abi,6,FRA,"DF,FW",Saint-Étienne,Ligue 1,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,0,0.0,0.0,0.0,0.0,0.0,0.17,0.12,0.29,0.17,0.29,,,,,,,,,,,,,,,,,6.0,17.0,35.3,45.0,8.0,5.0,7.0,71.4,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,17,17,0,0,0,0,0,0,0,0,0,0,6,0,3,2,5.63,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,29.0,1.0,6.0,10.0,14.0,4.0,29.0,3.0,2.0,66.7,1.0,33.3,16.0,123.0,52.0,2.0,2.0,0.0,3.0,2.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,2.0,1.0,66.7,,,,,,,,,,,,,,,
David Abraham,7,ARG,DF,Eint Frankfurt,Bundesliga,32,1986,17,17,1420,15.8,0,0,0,0,0,0,2,0,0.8,0.8,0.4,1.1,20,80,7,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.07,0.05,0.07,15.8,0.0,5.0,1.0,20.0,0.32,0.06,0.0,0.0,11.4,0.0,0.0,0.0,0.15,-0.8,-0.8,514.0,671.0,76.6,10872.0,4118.0,142.0,172.0,82.6,284.0,332.0,85.5,83.0,136.0,61.0,0.0,0.4,0.5,-0.4,5.0,56.0,6.0,2.0,80.0,671,646,22,20,0,13,8,2,0,0,0,0,514,3,12,12,0.76,9,0,1,1,1,0,1,0.06,0,0,0,1,0,0,22.0,14.0,13.0,8.0,1.0,11.0,25.0,44.0,14.0,23.0,12.0,11.0,24.0,46.0,64.0,0.0,839.0,94.0,370.0,434.0,47.0,8.0,839.0,7.0,6.0,85.7,1.0,14.3,418.0,2652.0,1566.0,20.0,14.0,0.0,5.0,2.0,442.0,7.0,,,,,,,,,,,,,,,,,,,,0.0,11.0,9.0,0.0,8.0,24.0,14.0,0.0,0.0,0.0,104.0,40.0,22.0,64.5,,,,,,,,,,,,,,,
Amir Abrashi,8,ALB,MF,Freiburg,Bundesliga,28,1990,10,9,790,8.8,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,6,19,9,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,8.8,0.0,7.0,2.0,28.6,0.8,0.23,0.0,0.0,26.9,0.0,0.0,0.0,0.03,-0.2,-0.2,319.0,372.0,85.8,5012.0,1108.0,154.0,174.0,88.5,129.0,137.0,94.2,18.0,26.0,69.2,0.0,0.1,0.1,-0.1,2.0,14.0,0.0,0.0,19.0,372,368,4,1,0,0,2,2,0,0,0,0,319,0,9,8,0.91,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,20.0,11.0,7.0,10.0,3.0,6.0,19.0,31.6,13.0,11.0,3.0,8.0,14.0,34.0,15.0,0.0,461.0,24.0,112.0,294.0,58.0,1.0,461.0,5.0,3.0,60.0,2.0,40.0,193.0,944.0,422.0,6.0,4.0,1.0,4.0,8.0,266.0,9.0,79.0,25.8,9.0,85.0,7.0,1.0,22.0,2.0,1.2,10.0,15.0,-5.0,-0.57,-0.17,8.0,16.2,-8.2,-0.93,-0.45,0.0,19.0,16.0,0.0,2.0,14.0,11.0,0.0,0.0,0.0,61.0,5.0,4.0,55.6,,,,,,,,,,,,,,,
Francesco Acerbi,9,ITA,DF,Lazio,Serie A,30,1988,37,37,3309,36.8,3,1,4,3,0,0,4,1,3.4,3.4,1.0,4.3,39,135,17,0.08,0.03,0.11,0.08,0.11,0.09,0.03,0.12,0.09,0.12,36.8,3.0,18.0,7.0,38.9,0.49,0.19,0.17,0.43,9.8,0.0,0.0,0.0,0.2,-0.4,-0.4,1560.0,1800.0,86.7,30496.0,11601.0,547.0,598.0,91.5,765.0,828.0,92.4,216.0,313.0,69.0,1.0,1.0,0.6,0.0,10.0,111.0,7.0,1.0,135.0,1800,1735,61,46,0,15,6,15,0,0,0,0,1560,4,11,31,0.84,27,0,0,1,3,0,2,0.05,1,0,0,1,0,0,40.0,30.0,22.0,13.0,5.0,12.0,16.0,75.0,4.0,50.0,32.0,18.0,61.0,101.0,169.0,1.0,2178.0,257.0,1019.0,1060.0,112.0,28.0,2178.0,11.0,9.0,81.8,2.0,18.2,1191.0,7946.0,4406.0,39.0,26.0,2.0,20.0,8.0,1306.0,17.0,,,,,,,,,,,,,,,,,,,,1.0,24.0,42.0,3.0,6.0,61.0,30.0,0.0,0.0,0.0,226.0,96.0,43.0,69.1,,,,,,,,,,,,,,,
